Quest.;Curso;Turno;Semestre;sexo;idade;CF;Estado civil;RMI;RF;Fonte de renda;Municipio;Acesso a Internet;Horas de acesso;MTG;CUCMF;ACAI;UICSF;UIDA;UBDA;CEA;CFPP;CPC;PQC;PQNC;IPIC;PIPI;SNC;CCPI;MGCO;FDC;DU;TDP;CATCP;CPE;ECE;MIN;MIP;ADC;IMPORTAÇÃO;TPI
43;Historia;noite;I;0;18;4;0;954,00;3816,00;1;Assaré;1;1;0;2;1;1;1;0;1;0;1;2;;1;1;2;1;1;5;3;3;1;0;0;0;0;2;1;0
44;Historia;noite;VII;0;22;3;0;400,00;1996,00;4;Crato;1;2;0;2;1;0;1;0;0;2;1;1;;2;0;0;0;0;0;0;0;0;0;1;0;0;2;0;
45;Historia;noite;I;1;19;4;0;0,00;1890,00;0;Exu;1;3;0;2;1;0;1;0;1;2;0;;1;2;1;2;1;1;4;3;3;1;0;3;1;3;2;0;
46;Historia;noite;IV;0;21;4;0;0,00;2000,00;0;Juazeiro do Norte;1;3;2;1;1;1;1;0;0;1;0;;1;2;0;2;0;0;0;0;0;1;0;0;0;1;0;0;
47;Historia;noite;IV;0;20;3;0;0,00;1800,00;0;Antonina do Norte;1;3;2;1;1;1;1;0;0;1;0;;1;1;0;2;0;0;0;0;0;1;0;0;0;1;2;0;
48;Historia;noite;VI;1;24;2;4;400,00;500,00;4;Juazeiro do Norte;1;2;2;1;1;0;1;1;1;0;0;;1;2;1;2;1;1;3;3;3;1;1;1;0;1;2;0;
49;Historia;noite;V;0;20;2;0;400,00;400,00;4;Caririaçu;1;2;0;0;0;1;0;0;0;2;0;;1;1;1;0;0;0;0;0;0;0;0;0;0;3;0;0;
50;Historia;noite;VI;0;20;6;0;400,00;0,00;4;Juazeiro do Norte;1;3;2;1;1;1;1;1;0;2;0;;1;2;1;1;1;3;3;1;4;0;1;1;2;0;2;1;0
51;Historia;noite;III;1;20;6;0;0,00;1500,00;3;Juazeiro do Norte;1;1;0;2;1;1;0;0;1;2;0;;1;1;1;1;1;1;3;1;5;0;0;1;2;1;2;1;1
52;Historia;manhã;III;1;19;5;0;400,00;1200,00;2;Juazeiro do Norte;1;2;0;0;1;0;1;0;0;1;0;;0;2;1;2;0;0;0;0;0;0;0;0;0;0;1;0;
