municipio;ano;codigo;quant__estabelecimentos;dummy_mtpb;PREC2017_mean;TEMP_2017_mean;area_fr;s_assistencia_fr;despesas_fr;idade_m75_fr;producao_fr;propietarios_fr;quant_estab_irrigacao_fr;quant_pessoas_ocupadas_fr;quant_trator_implem_fr;num_estab_armazenadoras_fr
Neópolis (SE);2017;2804409;600;0;1465,3;25,72;11,68977667;0,766666667;23,52837;0,146666667;27,94474333;0,146666667;0,388333333;2,016666667;0,058333333;NA
Caetanópolis (MG);2017;3109907;26;0;879,8;21,37;50,71192308;0,730769231;34,48938462;0,346153846;27,93130769;0,346153846;0,153846154;2,461538462;0,769230769;0
Doutor Ricardo (RS);2017;4306759;178;0;1760,6;19,605;16,17675281;0,387640449;22,30616854;0,230337079;27,92025281;0,230337079;0;2,297752809;0,685393258;0,005617978
Lizarda (TO);2017;1712405;314;1;1353,5875;26,805;180,6055478;0,99044586;23,55156051;0,251592357;27,91557962;0,251592357;0,00955414;3,031847134;0,108280255;0,003184713
Braço do Trombudo (SC);2017;4202859;89;0;1504,2;18,9;23,24264045;0,146067416;28,97667416;0,325842697;27,90291011;0,325842697;0,033707865;2,123595506;1,606741573;0,213483146
Borda da Mata (MG);2017;3108305;55;0;1199,5;18,07;20,66234545;0,690909091;25,24718182;0,254545455;27,86709091;0,254545455;0,054545455;1,527272727;0,309090909;0,018181818
Sucupira do Norte (MA);2017;2111904;424;1;1034,5;27,91;41,17521462;0,978773585;16,32710849;0,16509434;27,77547877;0,16509434;0,023584906;2,110849057;0,106132075;0,068396226
Moju (PA);2017;1504703;3640;0;2668,31;28,104;41,37940879;0,954120879;5,850373901;0,113736264;27,75622555;0,113736264;0,032967033;3,613736264;0,039010989;0,002197802
Esmeraldas (MG);2017;3124104;240;0;879,8;20,625;55,76090417;0,520833333;44,42966667;0,420833333;27,60890417;0,420833333;0,079166667;3,254166667;0,629166667;0,129166667
Barracão (PR);2017;4102604;396;0;2694;20,185;14,87990909;0,861111111;14,10565152;0,25;27,50673737;0,25;0,015151515;2,22979798;0,287878788;0
Celso Ramos (SC);2017;4204152;277;0;1939,1;17,9;20,82086643;0,292418773;21,88167509;0,155234657;27,43722383;0,155234657;0,061371841;2,364620939;0,790613718;NA
