"QUANTIDADE";"VALOR";"COD_ENTIDADE";"MATRICULAS";"TAMANHO_ESCOLA";"DUMMY_PARTICIPACAO"
393;"216.110,70";16007352;507;545;"1"
611;"335.988,90";31270491;632;697;"1"
152;"83.584,80";26073714;177;195;"1"
397;"218.310,30";35008461;324;370;"1"
780;"428.922,00";33030626;722;857;"1"
707;"388.779,30";53000854;652;733;"1"
533;"293.096,70";15040186;801;869;"1"
158;"86.884,20";31296350;488;540;"1"
21;"11.547,90";26155249;36;42;"1"
503;"276.599,70";26124297;425;494;"1"
548;"301.345,20";29445191;526;553;"1"
550;"302.445,00";31293849;532;599;"1"
546;"300.245,40";50024167;653;704;"1"
280;"153.972,00";26121980;409;481;"1"
1082;"594.991,80";42000688;927;1079;"1"
496;"272.750,40";17026180;758;814;"1"
402;"221.059,80";13015400;485;526;"1"
12;"6.598,80";28020316;9;12;"1"
541;"297.495,90";15101134;828;878;"1"
785;"431.671,50";31166545;1033;1152;"1"
310;"170.469,00";12000434;344;373;"1"
122;"67.087,80";33102791;163;189;"1"
481;"264.501,90";28001761;438;473;"1"
394;"216.660,60";25001906;446;491;"1"
352;"193.564,80";24049026;343;364;"1"
456;"250.754,40";13021354;358;381;"1"
42;"23.095,80";31136646;27;34;"1"
88;"48.391,20";43111459;79;104;"1"
479;"263.402,10";35277812;389;425;"1"
55;"30.244,50";26073862;63;71;"1"
308;"169.369,20";27036588;370;406;"1"
248;"136.375,20";16001222;223;247;"1"
185;"101.731,50";29428947;163;178;"1"
247;"135.825,30";50015931;256;291;"1"
221;"121.527,90";41025385;170;194;"1"
941;"517.455,90";17026270;783;856;"1"
297;"163.320,30";15053440;289;310;"1"
562;"309.043,80";15549259;553;583;"1"
441;"242.505,90";24052159;310;340;"1"
631;"346.986,90";52061655;532;601;"1"
455;"250.204,50";50018540;568;604;"1"
379;"208.412,10";35002434;323;369;"1"
444;"244.155,60";42071747;327;349;"1"
276;"151.772,40";32007191;327;358;"1"
49;"26.945,10";26074010;50;56;"1"
506;"278.249,40";41055900;503;543;"1"
14;"7.698,60";26073684;27;30;"1"
45;"24.745,50";26073986;52;58;"1"
166;"91.283,40";25021680;114;132;"1"
40;"21.996,00";26073765;54;62;"1"
423;"232.607,70";35300081;362;417;"1"
393;"216.110,70";25094408;253;313;"1"
55;"30.244,50";15562379;43;50;"1"
424;"233.157,60";32039700;311;345;"1"
50;"27.495,00";15053059;43;50;"1"
70;"38.493,00";15053458;70;77;"1"
490;"269.451,00";21046743;433;473;"1"
511;"280.998,90";42116341;579;622;"1"
38;"20.896,20";26073650;41;45;"1"
628;"345.337,20";16010850;921;991;"1"
403;"221.609,70";17005027;388;429;"1"
510;"280.449,00";22124136;565;600;"1"
574;"315.642,60";35088648;534;567;"1"
217;"119.328,30";27029107;241;263;"1"
486;"267.251,40";13005200;460;501;"1"
25;"13.747,50";26073854;30;35;"1"
823;"452.567,70";28020278;730;775;"1"
426;"234.257,40";21326606;341;364;"1"
454;"249.654,60";15572188;643;679;"1"
814;"447.618,60";35046024;726;799;"1"
459;"252.404,10";13090542;350;387;"1"
473;"260.102,70";12014605;419;466;"1"
466;"256.253,40";14003872;379;444;"1"
469;"257.903,10";13018248;452;485;"1"
39;"21.446,10";26073811;40;49;"1"
357;"196.314,30";33089370;301;331;"1"
329;"180.917,10";27007448;293;326;"1"
471;"259.002,90";26170043;422;453;"1"
368;"202.363,20";27013987;537;588;"1"
298;"163.870,20";29161380;356;396;"1"
72;"39.592,80";24041955;138;144;"1"
470;"258.453,00";41041887;378;423;"1"
496;"272.750,40";22005315;385;413;"1"
652;"358.534,80";41130367;589;675;"1"
348;"191.365,20";25089811;345;365;"1"
130;"71.487,00";26073536;128;148;"1"
432;"237.556,80";23100575;409;450;"1"
600;"329.940,00";21200475;597;677;"1"
479;"263.402,10";26039702;308;333;"1"
400;"219.960,00";26075504;561;602;"1"
50;"27.495,00";26073978;50;54;"1"
444;"244.155,60";23234172;517;557;"1"
64;"35.193,60";26135507;76;84;"1"
335;"184.216,50";12025992;271;334;"1"
553;"304.094,70";25065025;441;497;"1"
312;"171.568,80";23461667;244;268;"1"
496;"272.750,40";21259445;478;516;"1"
492;"270.550,80";29064236;453;491;"1"
30;"16.497,00";15052753;61;68;"1"
875;"481.162,50";21017484;955;1057;"1"
431;"237.006,90";26018039;546;606;"1"
50;"27.495,00";28020332;55;63;"1"
330;"181.467,00";41016483;564;625;"1"
138;"75.886,20";28026365;227;251;"1"
